,Equal_Weighted,Historical_RP,Method_A_ARMA,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost
2018-01-03,0.9999828297786827,1.0016071951850745,1.0,0.9984399383447847,1.0006722521445084,0.9956307777475024
2018-01-04,1.0007213455608275,1.0034153960961851,1.0,0.9988327563773188,1.0009302568814122,0.9945846034981686
2018-01-05,1.0101900111625686,1.0123248677036178,1.0,1.0077339961862286,1.009307253640028,1.0050016642134476
2018-01-08,1.0116431609414707,1.0133530141248999,1.0,1.0091848647192088,1.010357651196814,1.008058150506719
2018-01-09,1.0114488819605898,1.0123972567749617,1.0,1.0079857390688929,1.009501004065939,1.005500620478511
2018-01-10,1.009197257865282,1.0094800167344158,1.0,1.0053477357484526,1.0074869180247743,1.0031053517209638
2018-01-11,1.0189250029234482,1.01877442899386,1.0,1.0153391615985465,1.0175804590195345,1.0118830269864432
2018-01-12,1.0288545619960143,1.028733202585955,1.0,1.023578220686104,1.026595563044435,1.0210219587839948
2018-01-16,1.0311960067407069,1.0318335210839937,1.0,1.0237104612893695,1.027850026241961,1.0186637493393493
2018-01-17,1.046769961453274,1.0466454908960423,1.0,1.0390529420484205,1.0443000417052692,1.0370337676472419
2018-01-18,1.0467742307698307,1.0487075596878506,1.0,1.0408167800252979,1.04532637241837,1.037459576170227
2018-01-19,1.0539789857399535,1.054558654745264,1.0,1.0471130024061523,1.05220493416742,1.0441320710717534
2018-01-22,1.062528888786086,1.0637077218544813,1.0,1.0563450721792484,1.0608875808550806,1.0500025613042538
2018-01-23,1.0640685860850145,1.0652585632055533,1.0,1.0572830416196832,1.0614804521771746,1.0516918672334752
2018-01-24,1.0638288414737218,1.0644886812845988,1.0,1.055556098237188,1.0603062070995846,1.0505573934609327
2018-01-25,1.065075120783418,1.064335818072707,1.0,1.0551039045259947,1.0595793755263114,1.0519760430741851
2018-01-26,1.0869768853635788,1.0878718028451604,1.0,1.0793560892013032,1.0803342966530511,1.0711923177835525
2018-01-29,1.08249875291771,1.0829188036911856,1.0,1.0731736531449707,1.0746952636291598,1.0658870390568382
2018-01-30,1.0621296713608201,1.0615148306287534,1.0,1.0540123681649423,1.0540231918925613,1.0463698475353904
