Strategy,Period,Ann_Return,Ann_Vol,Sharpe,Max_DD,Calmar
Equal_Weighted,COVID_2020,-21.97,56.37,-0.39,-35.28,-0.623
Historical_RP,COVID_2020,-16.46,52.22,-0.315,-31.61,-0.521
Method_A_ARMA,COVID_2020,0.0,0.0,0.0,0.0,0.0
Method_A_XGBoost,COVID_2020,-16.93,52.71,-0.321,-31.68,-0.534
Method_B_XGBoost,COVID_2020,-22.09,53.24,-0.415,-32.87,-0.672
Method_C_XGBoost,COVID_2020,-47.75,55.5,-0.86,-37.26,-1.281
Equal_Weighted,Bear_2022,-7.93,20.35,-0.39,-24.16,-0.328
Historical_RP,Bear_2022,-3.77,18.11,-0.208,-21.94,-0.172
Method_A_ARMA,Bear_2022,0.0,0.0,0.0,0.0,0.0
Method_A_XGBoost,Bear_2022,0.01,17.48,0.001,-18.06,0.001
Method_B_XGBoost,Bear_2022,-3.2,17.41,-0.184,-20.24,-0.158
Method_C_XGBoost,Bear_2022,-4.06,17.09,-0.237,-21.74,-0.187
